decision_timeframe,source_bar_timeframe,target_id,target_resolution_classification,row_count
1Day,1Day,forward_return_10_sessions__decision_1Day,MATURED_VALID,1
1Day,1Day,forward_return_1_session__decision_1Day,MATURED_VALID,1
1Day,1Day,forward_return_1_session__decision_1Day,NOT_YET_MATURE,1
1Day,1Day,forward_return_5_sessions__decision_1Day,MATURED_VALID,1
1Day,1Day,forward_return_5_sessions__decision_1Day,MISSING_SOURCE_BAR,1
1h,1h,forward_return_240m__decision_1h,MATURED_VALID,1
1h,1h,forward_return_60m__decision_1h,MATURED_VALID,1
1h,1h,forward_return_60m__decision_1h,SESSION_BOUNDARY_CONFLICT,1
1h,1h,forward_return_next_session__decision_1h,MATURED_VALID,1
1h,1h,forward_return_to_close__decision_1h,MATURED_VALID,1
5m,5m,forward_return_30m__decision_5m,HALT_AFFECTED,1
5m,5m,forward_return_30m__decision_5m,INELIGIBLE_SOURCE_BAR,1
5m,5m,forward_return_30m__decision_5m,MATURED_VALID,1
5m,5m,forward_return_30m__decision_5m,MISSING_SOURCE_BAR,2
5m,5m,forward_return_30m__decision_5m,QUARANTINED_SOURCE_BAR,1
5m,5m,forward_return_30m__decision_5m,UNKNOWN_SOURCE_GAP,1
5m,5m,forward_return_60m__decision_5m,MATURED_VALID,1
5m,5m,forward_return_60m__decision_5m,RIGHT_CENSORED,1
5m,5m,forward_return_60m__decision_5m,SESSION_BOUNDARY_CONFLICT,1
5m,5m,forward_return_next_open__decision_5m,MATURED_VALID,4
5m,5m,forward_return_to_close__decision_5m,MATURED_VALID,2
