article_id,symbol,published_at_utc,source,headline,body_or_summary,sentiment_score,relevance_score,novelty_score,event_type,language,ingested_at,provider,provider_article_id,provider_url
alpha_vantage:https://9to5mac.com/2026/07/01/apple-in-negotiations-with-two-banned-chinese-ram-firms-after-price-increases/,AAPL,2026-07-01T20:25:00Z,9to5Mac,Apple ‘in negotiations’ with two banned Chinese RAM firms after price increases,"Apple is reportedly in negotiations to purchase RAM from two Chinese semiconductor manufacturers, ChangXin Memory Technologies Inc. (CXMT) and Yangtze Memory Technologies Co. (YMTC), both of which are on the Pentagon's ban list. This move is driven by a global memory shortage that has forced Apple to raise prices on products like Macs and iPads, and would likely require special clearance from the U.S. government. The iPhone maker aims to secure components for devices sold in China and mitigate further price increases, with new iPhone models also expected to cost more.",-0.145057,,,,en,2026-07-01T21:35:41.083297Z,alpha_vantage,https://9to5mac.com/2026/07/01/apple-in-negotiations-with-two-banned-chinese-ram-firms-after-price-increases/,https://9to5mac.com/2026/07/01/apple-in-negotiations-with-two-banned-chinese-ram-firms-after-price-increases/
alpha_vantage:https://www.bloomberg.com/news/articles/2026-07-01/apple-seeks-to-buy-chinese-made-memory-chips-with-lobbying-push,AAPL,2026-07-01T19:54:00Z,Bloomberg.com,Apple Seeks to Buy Chinese-Made Memory Chips With Lobbying Push,"Apple Inc. is reportedly in talks to acquire memory chips from two blacklisted Chinese semiconductor manufacturers, ChangXin Memory Technologies Inc. and Yangtze Memory Technologies Co. This move is aimed at mitigating the impact of a global memory shortage, which has led Apple to increase prices across its product range. The discussions are ongoing, with the chips intended for devices sold within China.",0.135883,,,,en,2026-07-01T21:35:41.083317Z,alpha_vantage,https://www.bloomberg.com/news/articles/2026-07-01/apple-seeks-to-buy-chinese-made-memory-chips-with-lobbying-push,https://www.bloomberg.com/news/articles/2026-07-01/apple-seeks-to-buy-chinese-made-memory-chips-with-lobbying-push
alpha_vantage:https://ca.investing.com/news/stock-market-news/form-144-newmont-corp-de-for-1-july-93CH-4716825,AAPL,2026-07-01T18:47:15Z,Investing.com Canada,Form 144 NEWMONT Corp /DE/ For: 1 July By Investing.com,This article announces the filing of Form 144 by NEWMONT Corp /DE/ for July 1st. It provides no further details beyond stating the filing has occurred. The article text is very brief and mostly consists of navigation elements and market data irrelevant to the Form 144 announcement itself.,0.020624,,,,en,2026-07-01T21:35:41.083327Z,alpha_vantage,https://ca.investing.com/news/stock-market-news/form-144-newmont-corp-de-for-1-july-93CH-4716825,https://ca.investing.com/news/stock-market-news/form-144-newmont-corp-de-for-1-july-93CH-4716825
alpha_vantage:https://www.reuters.com/business/russia-warns-apple-52-million-fine-over-alleged-bias-against-local-apps-2026-07-01/,AAPL,2026-07-01T16:51:11Z,Reuters,Russia warns Apple of $52 million fine over alleged bias against local apps,"Russia's anti-monopoly watchdog has issued a warning to Apple regarding alleged discriminatory practices against Russian search engines and software. The Federal Antimonopoly Service demands that Apple pre-install Russian software, including search engines and messenger services, on its devices. Failure to comply by July 15 could result in a fine of up to 4 billion roubles ($51.6 million).",-0.329608,,,,en,2026-07-01T21:35:41.083336Z,alpha_vantage,https://www.reuters.com/business/russia-warns-apple-52-million-fine-over-alleged-bias-against-local-apps-2026-07-01/,https://www.reuters.com/business/russia-warns-apple-52-million-fine-over-alleged-bias-against-local-apps-2026-07-01/
alpha_vantage:https://ca.investing.com/news/stock-market-news/form-144-walmart-inc-for-1-july-93CH-4716638,AAPL,2026-07-01T16:11:16Z,Investing.com Canada,Form 144 Walmart Inc. For: 1 July By Investing.com,"This article announces the filing of Form 144 for Walmart Inc. on July 1st, published by Investing.com. It is a brief, declarative piece of financial news, common on financial news platforms, indicating a significant insider transaction or intent to sell restricted stock. The article primarily functions as a headline and a link to more detailed data, with minimal textual content beyond the announcement itself.",0.06684,,,,en,2026-07-01T21:35:41.083352Z,alpha_vantage,https://ca.investing.com/news/stock-market-news/form-144-walmart-inc-for-1-july-93CH-4716638,https://ca.investing.com/news/stock-market-news/form-144-walmart-inc-for-1-july-93CH-4716638
alpha_vantage:https://ca.investing.com/news/stock-market-news/form-144-main-street-capital-corp-for-30-june-93CH-4714967,AAPL,2026-07-01T15:10:53Z,Investing.com Canada,Form 144 MAIN STREET CAPITAL CORP For: 30 June By Investing.com,"This article announces the filing of Form 144 for MAIN STREET CAPITAL CORP for the period ending June 30. It provides this information without additional details, but includes market data and links to other financial news.",0.019886,,,,en,2026-07-01T21:35:41.083361Z,alpha_vantage,https://ca.investing.com/news/stock-market-news/form-144-main-street-capital-corp-for-30-june-93CH-4714967,https://ca.investing.com/news/stock-market-news/form-144-main-street-capital-corp-for-30-june-93CH-4714967
alpha_vantage:https://intellectia.ai/en/stock/NTLA/news,AAPL,2026-07-01T15:10:26Z,Intellectia AI,"NTLA Stock News Today | Earnings, Events & Price Alerts","This article provides recent news and events related to Intellia Therapeutics (NTLA), including stock movements, analyst opinions, and reports on its gene editing treatment, Lonvo-z. Key highlights include positive Phase 3 results for Lonvo-z, the stock's performance after these announcements, and market reactions to broader economic news like the U.S.-Iran peace agreement.",0.174931,,,,en,2026-07-01T21:35:41.083370Z,alpha_vantage,https://intellectia.ai/en/stock/NTLA/news,https://intellectia.ai/en/stock/NTLA/news
alpha_vantage:https://ca.investing.com/news/stock-market-news/form-144-tetra-technologies-inc-for-1-july-93CH-4716535,AAPL,2026-07-01T15:09:23Z,Investing.com Canada,Form 144 TETRA TECHNOLOGIES INC For: 1 July By Investing.com,"This article announces the filing of Form 144 for TETRA TECHNOLOGIES INC on July 1st. It also includes general market data and a list of popular articles and market movers, indicating it's a standard financial news brief from Investing.com.",0.099296,,,,en,2026-07-01T21:35:41.083383Z,alpha_vantage,https://ca.investing.com/news/stock-market-news/form-144-tetra-technologies-inc-for-1-july-93CH-4716535,https://ca.investing.com/news/stock-market-news/form-144-tetra-technologies-inc-for-1-july-93CH-4716535
alpha_vantage:https://ca.investing.com/news/stock-market-news/loews-corp-stock-hits-alltime-high-at-11504-usd-93CH-4716523,AAPL,2026-07-01T14:51:48Z,Investing.com Canada,Loews Corp stock hits all-time high at 115.04 USD By Investing.com,"Loews Corp's stock has reached an all-time high of $115.04, reflecting a strong 25.74% increase over the past year. Despite a slight decline in net income for Q1, the company surpassed earnings estimates with a 1.4% revenue increase, and InvestingPro suggests the stock is undervalued with potential for further upside. Loews has also declared a quarterly dividend of $0.0625 per share.",0.114451,,,,en,2026-07-01T21:35:41.083393Z,alpha_vantage,https://ca.investing.com/news/stock-market-news/loews-corp-stock-hits-alltime-high-at-11504-usd-93CH-4716523,https://ca.investing.com/news/stock-market-news/loews-corp-stock-hits-alltime-high-at-11504-usd-93CH-4716523
alpha_vantage:https://ca.investing.com/news/stock-market-news/form-4-prosperity-bancshares-inc-for-1-july-93CH-4716480,AAPL,2026-07-01T14:39:25Z,Investing.com Canada,Form 4 Prosperity Bancshares Inc For: 1 July By Investing.com,"This article announces the filing of Form 4 for Prosperity Bancshares Inc. on July 1st. It is a brief news item from Investing.com, typical of financial reporting on regulatory filings. The article also includes general market data and other news headlines.",0.381705,,,,en,2026-07-01T21:35:41.083402Z,alpha_vantage,https://ca.investing.com/news/stock-market-news/form-4-prosperity-bancshares-inc-for-1-july-93CH-4716480,https://ca.investing.com/news/stock-market-news/form-4-prosperity-bancshares-inc-for-1-july-93CH-4716480
